species	fc	auroc	p.val	p.adj
K18162	0.0775751623412571	0.5370021855269548	0.11040873540219542	0.17047777370428271
K18164	0.09590418753153776	0.5192508499271491	0.219930917974835	0.30253336546598864
K18166	-0.09647495306869165	0.4886170471102477	0.793250698273348	0.8400305251283924
K18169	0	0.5001335599805731	0.9987211414751067	0.9990979225898483
K18189	-0.005258546727437597	0.46233001457017975	0.401865643130362	0.491746068466702
K18195	-0.022307151662127024	0.48923627974745026	0.6873362240586862	0.7538618037207844
K18197	0.027918079968460595	0.5272765905779505	0.42045438730681584	0.5105857742028614
K18198	-0.21501819677402506	0.3751517727051967	8.282677809678775e-7	1.4169613328170896e-5
K18199	-0.08060842662668805	0.47184919864011654	0.21681176221197007	0.29904215775071824
K18200	-0.008801325005250589	0.49191355026711997	0.813359147200649	0.8567627139805565
K18203	0.09263614125688936	0.5272826614861583	0.04109141998475563	0.07563217167485678
K18204	-0.011144586726330515	0.5239800874210782	0.46295860851680826	0.5519010536117502
K18205	-0.2533006153432874	0.4213513841670714	0.0036460573167312626	0.010996017107820008
K18206	0.010925772185297	0.5169074793589121	0.5148850311484479	0.6016319657441103
K18209	0.24660066357928542	0.6022401651287033	8.868692793484456e-6	9.43468129565208e-5
K18210	0.07460471228588524	0.548439776590578	0.005622220809062384	0.015295747789360898
K18214	0.09302731261812493	0.5497632345798932	0.02907111119157113	0.057456071932657976
K18216	-0.02835862283091581	0.4865772219524041	0.6167738115823489	0.6922172222259574
K18217	0.15166526458440716	0.5795288975230695	9.445366184057669e-5	6.516729227595729e-4
K18218	-0.04095348861633756	0.4329103933948519	0.02878579778464746	0.05698164366222946
K18220	0.02578071919749884	0.5520823215152987	0.04433478955754144	0.08039280850928703
K18221	0.1165889678789206	0.511030840213696	0.18460404387161544	0.26186254796695807
K18231	0.05524792524583436	0.5289764448761535	0.08615111387494445	0.1388717549899054
K18234	0.08419028321758668	0.5874514327343371	2.29301730403364e-5	2.0681352214951931e-4
K18235	-0.05860022222196606	0.4413975230694511	0.09431316027384637	0.14957398207178182
K18236	0.02310426236164837	0.5255099562894608	0.13878859284948697	0.20659866319567158
K18237	0.2001352845761034	0.6003217581350171	7.43882742166857e-5	5.433964383780852e-4
K18239	0.0031200905213678983	0.49361340456532293	0.7303556389568643	0.7899530852650277
